種類,人氣 ,標題
Gossiping,14747,八卦按V進入民意調查投票
Stock,13611,股板少女時代也懂台積電
C_Chat,4503,西洽本板沒有舉辦通靈大賽
NBA,3509,NBA2021賽季開始了
Baseball,1359,棒球BaseballisLife
Lifeismoney,1260,省錢MoneyisLife
car,914,汽車發文請詳讀板規
Tech_Job,854,科技修機改善是設備終生職責
sex,725,西斯屬於客家的難忘西斯
Boy-Girl,675,男女你各位聖誕快樂
MobileComm,667,通訊入板請詳閱板規
LoL,629,LoL特粉最輝煌的時刻
HatePolitics,562,政黑戴口罩勤洗手
BabyMother,542,媽寶群組文僅限週四發表
WomenTalk,530,女孩女板冬季歌唱大賽
movie,509,電影板主投票118131
Beauty,483,表特板發文附圖
PC_Shopping,462,電蝦防火的金紙
marvel,445,媽佛天冷空品差少出門
marriage,405,發文前多想兩分鐘不夠就五分鐘
home-sale,400,房屋禁無關新聞戰地區玻璃心
e-shopping,373,ＥＳ防疫期間網購最安全
iOS,372,iOS板主徵選中
joke,354,joke小弟的new冰箱
NSwitch,351,NS2021過年遊戲徵文詳置底
ToS,340,神魔岩男又加倍了butwhocar
Kaohsiung,327,高雄天冷注意保暖勤洗手戴口罩
PlayStation,315,PS5WelcometotheNEXTGEN
creditcard,305,卡板發文依正確格式與注意板規
KoreaDrama,304,韓劇
basketballTW,293,台籃是時候了
Option,289,期權手續費洽broker板
KoreaStar,277,韓星發文前請先閱讀置底板規
Japandrama,268,日劇金20ゼロ係S5
AllTogether,261,歐兔黑特情人節是大年初三
Steam,251,本板禁止買賣合購代購代刷
japanavgirls,243,AV女優板清新優質神人照格式
Tainan,242,台南聖誕跨年活動看置底
CVS,234,進超商口罩戴好
HardwareSale,223,硬賣被刪勿重po各類文七天一篇
ONE_PIECE,204,海賊王1001鬼之島的怪物決戰
TaichungBun,199,台中戴口罩勤洗手
Salary,176,職場工作職場板
WOW,175,WoW贖罪大風車ON
StupidClown,174,哼哼哼哼
MakeUp,172,美妝2021新年快樂
SportLottery,169,臺灣運彩鳳凰花開畢業啦
PCReDive,169,公連臺日2021年第一次戰隊戰
KR_Entertain,167,韓綜ShowMeThe新板主
Lakers,166,LakersKOBETHISISFORYOU
Badminton,164,羽球版
Elephants,157,新任總教練林威助
Hearthstone,147,爐石全明星賽冠軍Bloodyface
Gamesale,136,板主徵選or唯讀倒數中即日起禁止發文
BeautySalon,132,美保2021HAPPYNEWYEAR
BuyTogether,131,合購注意疫情勤洗手最重要
CFantasy,128,玄幻版主徵選投票中
biker,125,Biker都是車別分那麼細
MacShop,124,板規發文附圖從12月1日起
cat,122,喵板
forsale,117,跳蚤發文前請見置底公告
PathofExile,116,PoEAhoy
Headphone,115,溫馨耳機板心得文請多加敘述聽感
Hsinchu,109,新竹發文禁止口罩交易
CarShop,108,汽車買賣不看公告水桶等你
mobilesales,105,面交別貪小便宜小心詐騙
AC_In,101,裏洽勤洗手
YuanChuang,98,原創新春特別節目關主募集中
MobilePay,98,刷卡回饋問題請至信用卡板
MuscleBeach,96,健身發文前請務必詳閱板規
KoreanPop,94,抵制買榜抵制作弊韓樂需要正義
China-Drama,94,陸劇歡迎收看戲說如懿
NBA_Film,93,新賽季開始請好好遵守板規
EAseries,93,EA歐美影集版
Bank_Service,93,銀行服務板發文滿50字3行
Soft_Job,85,軟工新福音戰士劇場版
PokemonGO,84,PMGO一起上R24抽色違摔角皮神
Examination,81,國考新年快樂
MLB,81,2020道奇拿冠軍
watch,79,錶板ShowmeyourWatch
Palmar_Drama,79,仙古狂濤20210106
DMM_GAMES,77,DMMGDMM發獎勵囉大家去領吧
Food,75,美食板
Brand,74,布蘭德細節的價值
E-appliance,73,家電本版不再接受小蔡推薦文
GetMarry,73,Getmarry廣宣文周三交易文周日
FATE_GO,72,FGO狗哥誰說沒槍頭就捅不死人
PuzzleDragon,72,PD龍族拼圖
hypermall,70,賣場好市多家樂福天佑台灣
part-time,67,打工工資160hr過渡條例施行
DSLR,66,攝影2021
G-S-WARRIORS,66,G1901291100am太陽
MayDay,66,五月天好好好想見到你延期
fastfood,65,速食新聞內容不計在20字內
GBF,65,碧藍幻想
DigiCurrency,64,數位貨幣下一站火星
Military,63,冷靜與理性純粹論軍武
TW_Entertain,63,星光歡樂城四日晚10狼谷育樂
Finance,57,金融業板理專20誡牛棚暖身
Gov_owned,57,國營新年快樂
TypeMoon,56,ＴＭ迦有劍狗
ChungLi,56,中壢勤洗手多消毒少出門
Digitalhome,56,電視2020數位家庭板歡迎您
cookclub,56,歡迎分享手做美食
Foreign_Inv,55,海外投資版
nb-shopping,55,勿賣全新防代買詐騙買賣五天一篇
Key_Mou_Pad,54,鍵鼠買新鍵鼠迎接2021年
give,53,贈送地區物名不合砍文
Taoyuan,53,桃園新聞文板規26上路
MAC,53,Mac工商服務正式上路含徵借
AzurLane,52,碧航危速前進
Wanted,52,汪踢肺炎來襲口罩不離
facelift,52,醫學美容版嚴禁揪團買賣廣告
graduate,51,研所
Insurance,50,保險板徵業務站內信劣退
job,50,要求先提供照片一律刪文水桶一週
KanColle,49,艦娘牛年啦
BB-Love,49,絕愛代PO服務開放中
TaiwanDrama,49,臺劇第25號密令集團逮捕歸案
gay,49,甲板若無自介文發交易文會水桶
PublicServan,48,公職新年快樂
TWICE,48,TWICE新年快樂
DC_SALE,46,數位相機交易注意詐騙
GoodPregnan,46,好孕禁止贈送驗孕排卵試紙喔
SuperBike,44,PTT重機板道路平權交通解嚴
Lions,44,FLYINGㄟ口ㄏ冠軍獅王
Japan_Travel,42,遊記請註明日期對大家都好
Audiophile,40,電腦喇叭音響系統討論板
